======================================================================
  STEP 2 — RL OPTIMIZATION TRAJECTORY
======================================================================

Budget:       369 bits
Total steps:  27
RL time:      1.70 s

 Step  Rule                             Cost      Noise  Status
-----  -------------------------- ---------- ----------  ---------------
    0  —                             26012.0      110.9  ok
    1  —                             25068.0      112.1  ok
    2  —                             24069.0      112.1  ok
    3  —                             23169.0      112.1  ok
    4  —                             22269.0      112.1  ok
    5  —                             21369.0      112.1  ok
    6  —                             20370.0      112.1  ok
    7  —                             19371.0      112.1  ok
    8  —                             18372.0      112.1  ok
    9  —                             17472.0      112.1  ok
   10  —                             16572.0      112.1  ok
   11  —                             15573.0      112.1  ok
   12  —                             14673.0      112.1  ok
   13  —                             13773.0      112.1  ok
   14  —                             12774.0      112.1  ok
   15  —                             11874.0      112.1  ok
   16  —                             10974.0      112.1  ok
   17  —                              9975.0      112.1  ok
   18  —                              8976.0      112.1  ok
   19  —                              8076.0      112.1  ok
   20  —                              7176.0      112.1  ok
   21  —                              6177.0      112.1  ok
   22  —                              5277.0      112.1  ok
   23  —                              4377.0      112.1  ok
   24  —                              3378.0      112.1  ok
   25  —                              2478.0      112.1  ok
   26  —                              1578.0      112.1  ok
   27  —                              1578.0      112.1  ok
