name,compilation_ms,keygen_ms,bootstrap_keygen_ms,encrypt_ms,eval_ms,decrypt_ms,total_ms,precision_bits,abs_error
poly_depth5,15,92.9,0.0,47.7,110.8,16.1,267.5,25.43,2.22e-08
poly_depth8,7,292.2,0.0,137.3,512.7,31.5,973.7,29.71,1.14e-09
poly_depth10,8,386.0,0.0,163.3,781.6,32.4,1363.3,27.74,4.47e-09
poly_depth12,8,480.1,0.0,187.7,1128.4,32.0,1828.2,30.94,4.85e-10
conv_5x5_k2_2layer,18,70.1,0.0,697.9,2670.7,144.2,3583.0,20.37,7.38e-07
conv_8x8_k2_2layer,46,70.3,0.0,1496.6,8811.5,581.1,10959.5,16.87,8.37e-06
conv_8x8_k3_1layer,38,41.2,0.0,1116.4,5556.6,583.8,7298.0,22.21,2.06e-07
conv_12x12_k3_2layer,207,70.9,0.0,3342.6,35200.5,1034.8,39648.8,9.81,1.11e-03
conv_16x16_k3_2layer,553,70.4,0.0,5640.5,71832.6,2308.6,79852.1,16.40,1.15e-05
linear_4x4_2layer,11,70.0,0.0,759.7,806.4,64.2,1700.3,16.48,1.09e-05
linear_8x8_2layer,20,69.9,0.0,2807.3,2946.7,127.7,5951.5,13.65,7.80e-05
linear_16x16_2layer,57,70.3,0.0,10872.1,11201.1,273.9,22417.4,5.08,2.95e-02
linear_16x16_3layer,129,99.1,0.0,20568.1,21419.2,261.8,42348.2,-55.00,3.60e+16
linear_32x32_2layer,213,70.0,0.0,42639.2,43694.6,538.5,86942.3,0.24,8.45e-01
