expression,depth,xdepth,terms,ops_cost,keygen_ms,bootstrap_keygen_ms,encrypt_ms,eval_ms,decrypt_ms,total_ms,precision_bits,abs_error
poly_activation_deg2_4,4,2,9,1.42,42.0,0.0,40.0,20.5,19.9,122.5,17.90,4.08e-06
poly_activation_deg4_4,7,3,15,3.64,42.4,0.0,41.4,48.8,17.5,150.2,16.84,8.51e-06
conv2d_5x5_k3,5,1,35,9.08,41.8,0.0,289.4,157.0,19.9,508.1,26.09,1.40e-08
fc_plus_act_4,7,3,23,5.45,42.4,0.0,151.2,86.3,17.8,297.8,18.31,3.07e-06
poly_activation_deg2_8,4,2,9,1.42,41.8,0.0,38.8,21.6,20.3,122.4,17.90,4.08e-06
poly_activation_deg2_16,4,2,9,1.42,42.4,0.0,39.1,20.7,20.5,122.7,17.91,4.07e-06
poly_activation_deg4_8,7,3,15,3.64,41.3,0.0,41.7,49.2,17.6,149.8,16.85,8.44e-06
conv2d_7x7_k3,5,1,35,9.08,42.0,0.0,289.5,159.0,20.0,510.6,27.26,6.22e-09
fc_plus_act_8,8,3,39,9.49,42.3,0.0,279.5,156.2,17.2,495.2,17.64,4.91e-06
matmul_4x4,3,1,15,4.03,43.1,0.0,128.8,72.3,20.5,264.8,31.19,4.08e-10
fc_2layer_4,8,4,64,25.15,71.6,0.0,526.9,632.4,17.5,1248.5,17.67,4.81e-06
