benchmark,w_ops,w_keys,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB),rotation_keys_count,final_ops_cost,final_keys_cost
lin_reg_4,0.8,0.2,3,0,1,1,0,1,5,1,15.172,0.173,0.138,0.311,341,18.1967,1,1063.0,1.0
lin_reg_4,1.0,0.0,3,0,1,2,0,1,6,1,15.607,0.325,0.363,0.688,340,36.2679,2,1130.0,2.0
lin_reg_8,0.8,0.2,3,0,1,1,0,1,5,1,16.983,0.140,0.173,0.312,341,18.1967,1,2063.0,1.0
lin_reg_8,1.0,0.0,3,0,1,1,0,1,5,1,15.460,0.164,0.299,0.463,341,18.1967,1,2063.0,1.0
lin_reg_16,0.8,0.2,3,0,1,1,0,1,5,1,14.008,0.281,0.177,0.458,340,18.1967,1,8074.0,1.0
lin_reg_16,1.0,0.0,3,0,1,1,0,1,5,1,17.191,0.228,0.258,0.486,340,18.1967,1,8074.0,1.0
lin_reg_32,0.8,0.2,2,0,1,0,0,1,3,1,26.179,0.128,0.000,0.128,340,0.125542,0,28793.0,0.0
lin_reg_32,1.0,0.0,2,0,1,0,0,1,3,1,15.991,0.085,0.000,0.085,359,0.125542,0,16007.0,0.0
box_blur_4,0.8,0.2,8,0,0,1,0,0,7,0,15.640,0.495,0.174,0.669,357,18.1967,1,9075.0,1.0
box_blur_4,1.0,0.0,8,0,0,1,0,0,7,0,16.887,0.395,0.199,0.594,357,18.1967,1,9075.0,1.0
box_blur_8,0.8,0.2,13,0,0,0,0,0,6,0,24.787,0.823,0.000,0.823,359,0.125542,0,57009.0,0.0
box_blur_8,1.0,0.0,13,0,0,0,0,0,6,0,24.882,0.570,0.000,0.570,359,0.125542,0,57009.0,0.0
box_blur_16,0.8,0.2,13,0,0,0,0,0,6,0,57.797,0.532,0.000,0.532,359,0.125542,0,273009.0,0.0
box_blur_16,1.0,0.0,13,0,0,0,0,0,6,0,53.637,0.569,0.000,0.569,359,0.125542,0,273009.0,0.0
box_blur_32,0.8,0.2,13,0,0,0,0,0,6,0,157.650,0.333,0.000,0.333,359,0.125542,0,1697007.0,0.0
box_blur_32,1.0,0.0,13,0,0,0,0,0,6,0,103.808,0.305,0.000,0.305,359,0.125542,0,1697007.0,0.0
matrix_mul_4,0.8,0.2,2,0,0,1,0,2,4,1,9.028,0.367,0.092,0.459,327,18.1967,1,16075.0,1.0
matrix_mul_4,1.0,0.0,2,0,0,1,0,2,4,1,8.026,0.413,0.102,0.516,327,18.1967,1,16075.0,1.0
matrix_mul_8,0.8,0.2,7,0,0,0,0,8,4,1,170.200,1.898,0.000,1.898,327,0.125542,0,208009.0,0.0
matrix_mul_8,1.0,0.0,7,0,0,0,0,8,4,1,189.533,1.698,0.000,1.699,327,0.125542,0,208009.0,0.0
