benchmark,w_ops,w_keys,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB),rotation_keys_count,final_ops_cost,final_keys_cost
lin_reg_4,0.0,1.0,3,0,1,1,0,1,5,1,9.142,0.134,0.118,0.252,341,18.1967,1,N/A,N/A
lin_reg_8,0.0,1.0,3,0,1,1,0,1,5,1,8.949,0.171,0.163,0.334,341,18.1967,1,N/A,N/A
lin_reg_16,0.0,1.0,3,0,1,1,0,1,5,1,8.796,0.078,0.109,0.187,340,18.1967,1,N/A,N/A
lin_reg_32,0.0,1.0,2,0,1,0,0,1,3,1,8.123,0.038,0.000,0.038,359,0.125542,0,N/A,N/A
box_blur_4,0.0,1.0,8,0,0,1,0,0,7,0,11.097,0.345,0.185,0.529,357,18.1967,1,N/A,N/A
box_blur_8,0.0,1.0,13,0,0,0,0,0,6,0,19.993,0.481,0.000,0.481,359,0.125542,0,N/A,N/A
box_blur_16,0.0,1.0,13,0,0,0,0,0,6,0,41.584,0.535,0.000,0.536,359,0.125542,0,N/A,N/A
box_blur_32,0.0,1.0,13,0,0,0,0,0,6,0,131.504,0.356,0.000,0.356,359,0.125542,0,N/A,N/A
matrix_mul_4,0.0,1.0,2,0,0,1,0,2,4,1,12.063,0.304,0.144,0.448,328,18.1967,1,N/A,N/A
matrix_mul_8,0.0,1.0,7,0,0,0,0,8,4,1,174.539,1.400,0.000,1.400,327,0.125542,0,N/A,N/A
matrix_mul_16,0.0,1.0,15,0,0,0,0,16,5,1,2660.690,2.046,0.000,2.046,327,0.125542,0,N/A,N/A
matrix_mul_32,0.0,1.0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
max_3,0.0,1.0,8,0,0,1,3,5,8,2,9.434,0.607,0.076,0.683,295,18.1967,1,N/A,N/A
max_4,0.0,1.0,16,0,0,1,7,13,10,3,13.889,1.446,0.071,1.517,262,18.1967,1,N/A,N/A
max_5,0.0,1.0,28,0,0,1,13,25,12,4,21.154,2.628,0.075,2.703,229,18.1967,1,N/A,N/A
sort_3,0.0,1.0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dot_product_4,0.0,1.0,2,0,0,2,0,1,5,1,5.547,0.181,0.142,0.324,328,36.2679,2,N/A,N/A
dot_product_8,0.0,1.0,3,0,0,3,0,1,7,1,6.145,0.212,0.211,0.423,326,54.3391,3,N/A,N/A
dot_product_16,0.0,1.0,4,0,0,4,0,1,9,1,7.388,0.237,0.278,0.515,325,72.4103,4,N/A,N/A
dot_product_32,0.0,1.0,5,0,0,5,0,1,11,1,14.119,0.272,0.355,0.627,324,90.4814,5,N/A,N/A
gx_kernel_4,0.0,1.0,8,0,4,1,1,5,9,2,6.434,0.307,0.070,0.377,307,18.1967,1,N/A,N/A
gx_kernel_8,0.0,1.0,10,0,4,0,2,5,8,2,61.509,0.310,0.000,0.310,307,0.125542,0,N/A,N/A
gx_kernel_16,0.0,1.0,10,0,4,0,3,5,8,2,301.963,0.316,0.000,0.316,306,0.125542,0,N/A,N/A
gx_kernel_32,0.0,1.0,10,0,4,0,3,5,8,2,1664.620,0.327,0.000,0.327,305,0.125542,0,N/A,N/A
gy_kernel_4,0.0,1.0,8,0,4,1,0,4,8,1,7.297,0.195,0.073,0.268,339,18.1967,1,N/A,N/A
gy_kernel_8,0.0,1.0,10,0,4,0,3,5,7,2,20.983,0.323,0.000,0.323,307,0.125542,0,N/A,N/A
gy_kernel_16,0.0,1.0,13,0,8,0,1,8,8,1,21.866,0.307,0.000,0.307,337,0.125542,0,N/A,N/A
gy_kernel_32,0.0,1.0,13,0,8,0,1,8,8,1,89.940,0.316,0.000,0.316,336,0.125542,0,N/A,N/A
hamming_dist_4,0.0,1.0,5,1,0,2,0,3,8,2,5.908,0.436,0.143,0.580,294,36.2679,2,N/A,N/A
hamming_dist_8,0.0,1.0,7,2,1,3,0,5,12,2,13.066,0.595,0.154,0.749,294,36.2679,2,N/A,N/A
hamming_dist_16,0.0,1.0,21,4,6,9,0,13,19,5,274.124,1.177,0.223,1.401,292,54.3391,3,N/A,N/A
hamming_dist_32,0.0,1.0,17,4,4,5,0,11,15,3,403.482,1.024,0.147,1.170,293,36.2679,2,N/A,N/A
l2_distance_4,0.0,1.0,2,1,0,2,0,1,6,1,6.091,0.186,0.147,0.333,326,36.2679,2,N/A,N/A
l2_distance_8,0.0,1.0,6,7,0,3,0,2,10,1,21.427,0.494,0.223,0.717,326,54.3391,3,N/A,N/A
l2_distance_16,0.0,1.0,5,3,0,4,0,2,10,1,24.376,0.392,0.329,0.721,326,72.4103,4,N/A,N/A
l2_distance_32,0.0,1.0,10,8,0,3,0,8,13,1,120.049,1.133,0.217,1.350,324,54.3391,3,N/A,N/A
poly_reg_4,0.0,1.0,4,0,0,1,0,2,7,2,5.683,0.298,0.073,0.371,295,18.1967,1,N/A,N/A
poly_reg_8,0.0,1.0,4,0,0,1,0,2,7,2,6.067,0.317,0.073,0.390,296,18.1967,1,N/A,N/A
poly_reg_16,0.0,1.0,4,0,0,1,0,2,7,2,6.086,0.297,0.073,0.371,295,18.1967,1,N/A,N/A
poly_reg_32,0.0,1.0,3,0,0,0,0,2,5,2,6.218,0.267,0.000,0.267,296,0.125542,0,N/A,N/A
roberts_cross_4,0.0,1.0,7,0,0,0,3,2,5,1,6.216,0.414,0.000,0.414,327,0.125542,0,N/A,N/A
roberts_cross_8,0.0,1.0,7,0,0,0,3,2,5,1,10.712,0.326,0.000,0.326,327,0.125542,0,N/A,N/A
roberts_cross_16,0.0,1.0,5,0,0,0,2,2,5,1,20.102,0.282,0.000,0.282,327,0.125542,0,N/A,N/A
roberts_cross_32,0.0,1.0,5,0,0,0,2,2,5,1,120.368,0.292,0.000,0.292,327,0.125542,0,N/A,N/A
tree_5_1_50-50,0.0,1.0,5,0,0,0,0,2,4,2,5.497,0.310,0.000,0.310,296,0.125542,0,N/A,N/A
tree_5_2_50-50,0.0,1.0,4,0,0,0,0,2,4,2,5.519,0.295,0.000,0.295,296,0.125542,0,N/A,N/A
tree_10_1_50-50,0.0,1.0,28,0,0,3,0,19,14,6,29.543,2.422,0.215,2.637,165,36.2679,2,N/A,N/A
tree_10_2_50-50,0.0,1.0,18,0,0,2,0,15,16,7,25.718,1.971,0.144,2.115,133,36.2679,2,N/A,N/A
tree_5_1_100-50,0.0,1.0,28,0,0,3,0,13,11,4,21.240,1.803,0.148,1.951,230,36.2679,2,N/A,N/A
