benchmark,w_ops,w_keys,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB),final_ops_cost,final_keys_cost
lin_reg_4,0.0,1.0,3,0,1,1,0,1,5,1,9.192,N/A,N/A,N/A,341,N/A,N/A,N/A
lin_reg_8,0.0,1.0,3,0,1,1,0,1,5,1,6.163,N/A,N/A,N/A,341,N/A,N/A,N/A
lin_reg_16,0.0,1.0,3,0,1,1,0,1,5,1,5.913,N/A,N/A,N/A,340,N/A,N/A,N/A
lin_reg_32,0.0,1.0,2,0,1,0,0,1,3,1,5.873,N/A,N/A,N/A,359,N/A,N/A,N/A
box_blur_4,0.0,1.0,8,0,0,1,0,0,7,0,6.338,N/A,N/A,N/A,357,N/A,N/A,N/A
box_blur_8,0.0,1.0,13,0,0,0,0,0,6,0,8.868,N/A,N/A,N/A,359,N/A,N/A,N/A
box_blur_16,0.0,1.0,13,0,0,0,0,0,6,0,23.583,N/A,N/A,N/A,359,N/A,N/A,N/A
box_blur_32,0.0,1.0,13,0,0,0,0,0,6,0,85.586,N/A,N/A,N/A,359,N/A,N/A,N/A
matrix_mul_4,0.0,1.0,2,0,0,1,0,2,4,1,6.458,N/A,N/A,N/A,327,N/A,N/A,N/A
matrix_mul_8,0.0,1.0,7,0,0,0,0,8,4,1,134.417,N/A,N/A,N/A,327,N/A,N/A,N/A
