benchmark,slot_count,number_of_rotations
box_blur,2,2
box_blur,3,1
box_blur,4,1
box_blur,5,0
dot_product,2,1
dot_product,3,2
dot_product,4,3
dot_product,5,3
dot_product,6,3
dot_product,7,4
dot_product,8,4
dot_product,9,3
dot_product,10,4
dot_product,11,4
dot_product,12,4
dot_product,13,4
dot_product,14,4
dot_product,15,4
dot_product,16,5
dot_product,17,4
dot_product,18,4
dot_product,19,4
dot_product,20,4
dot_product,21,4
dot_product,22,4
dot_product,23,4
dot_product,24,5
dot_product,25,4
dot_product,26,4
dot_product,27,4
dot_product,28,4
dot_product,29,7
dot_product,30,7
dot_product,31,8
dot_product,32,5
gx_kernel,2,2
gx_kernel,3,1
gx_kernel,4,1
gx_kernel,5,0
gy_kernel,2,3
gy_kernel,3,1
gy_kernel,4,1
gy_kernel,5,0
hamming_dist,2,4
hamming_dist,3,3
hamming_dist,4,4
hamming_dist,5,3
hamming_dist,6,4
hamming_dist,7,4
hamming_dist,8,5
hamming_dist,9,4
hamming_dist,10,4
hamming_dist,11,4
hamming_dist,12,4
hamming_dist,13,4
hamming_dist,14,4
hamming_dist,15,4
hamming_dist,16,6
