1 64 1
x25_0 1 1 6
x38_0 1 1 10
x64_0 1 1 3
x62_0 1 1 2
x23_0 1 1 0
x3_0 1 1 9
x40_0 1 1 4
x8_0 1 1 5
x45_0 1 1 10
x22_0 1 1 3
x46_0 1 1 4
x42_0 1 1 5
x36_0 1 1 6
x47_0 1 1 8
x53_0 1 1 0
x4_0 1 1 10
x39_0 1 1 3
x59_0 1 1 8
x18_0 1 1 2
x52_0 1 1 2
x60_0 1 1 2
x63_0 1 1 0
x16_0 1 1 10
x17_0 1 1 5
x41_0 1 1 4
x37_0 1 1 0
x55_0 1 1 9
x61_0 1 1 7
x58_0 1 1 0
x24_0 1 1 0
x32_0 1 1 0
x29_0 1 1 4
x54_0 1 1 1
x9_0 1 1 0
x34_0 1 1 4
x51_0 1 1 7
x12_0 1 1 8
x49_0 1 1 6
x31_0 1 1 3
x10_0 1 1 0
x20_0 1 1 0
x43_0 1 1 5
x5_0 1 1 9
x35_0 1 1 9
x6_0 1 1 6
x2_0 1 1 9
x30_0 1 1 2
x50_0 1 1 5
x27_0 1 1 7
x7_0 1 1 2
x19_0 1 1 7
x15_0 1 1 5
x14_0 1 1 0
x44_0 1 1 9
x11_0 1 1 2
x33_0 1 1 3
x57_0 1 1 7
x26_0 1 1 0
x56_0 1 1 1
x21_0 1 1 3
x13_0 1 1 4
x28_0 1 1 4
x48_0 1 1 8
x1_0 1 1 10
